Time,Pressure_bar
18.721000,-85.222060
18.741000,-85.047871
18.761000,-85.449845
18.781000,-85.181862
18.801000,-85.195261
18.821000,-85.449845
18.841000,-85.155064
18.861000,-85.114867
18.881000,-85.034472
18.901000,-85.155064
18.921000,-85.222060
18.941000,-85.168463
18.961000,-85.436445
18.981000,-85.155064
19.001000,-85.195261
19.021000,-85.235459
19.041000,-85.423046
19.061000,-85.208661
19.094000,-85.195261
19.113000,-85.423046
19.130000,-85.181862
19.141000,-85.208661
19.161000,-85.208661
19.181000,-85.436445
19.201000,-85.181862
19.221000,-85.021073
19.241000,-85.423046
19.261000,-85.181862
19.281000,-85.222060
19.301000,-85.235459
19.321000,-85.181862
19.341000,-85.195261
19.361000,-85.061270
19.381000,-85.208661
19.401000,-85.208661
19.421000,-85.195261
19.441000,-85.047871
19.461000,-85.155064
19.481000,-85.222060
19.501000,-85.047871
19.521000,-85.436445
19.541000,-85.181862
19.561000,-85.222060
19.581000,-85.061270
19.601000,-85.181862
19.621000,-85.208661
19.641000,-85.208661
19.661000,-85.423046
19.681000,-85.181862
19.701000,-85.168463
19.721000,-85.235459
19.741000,-85.436445
19.761000,-85.235459
19.781000,-85.195261
19.801000,-85.436445
19.821000,-85.181862
19.841000,-85.208661
19.861000,-85.222060
19.881000,-85.436445
19.901000,-85.208661
19.921000,-85.168463
19.941000,-85.208661
19.961000,-85.195261
19.981000,-85.222060
20.001000,-85.222060
20.021000,-85.168463
20.041000,-85.208661
20.061000,-85.021073
20.081000,-85.222060
20.101000,-85.208661
20.121000,-85.181862
20.141000,-85.047871
20.161000,-85.168463
20.181000,-85.208661
20.201000,-85.061270
20.221000,-85.449845
20.246000,-85.181862
20.262000,-85.195261
20.283000,-85.047871
20.301000,-85.168463
20.321000,-85.208661
20.341000,-85.208661
20.361000,-85.396248
20.381000,-85.155064
20.401000,-85.181862
20.421000,-85.222060
20.441000,-85.449845
20.461000,-85.195261
20.481000,-85.208661
20.501000,-85.449845
20.521000,-85.195261
20.541000,-85.208661
20.561000,-85.235459
20.581000,-85.436445
20.601000,-85.195261
20.621000,-85.034472
20.641000,-85.195261
20.661000,-85.208661
20.681000,-85.222060
20.701000,-85.235459
20.721000,-85.181862
20.741000,-85.222060
20.761000,-85.047871
20.781000,-85.222060
20.801000,-85.195261
20.821000,-85.181862
20.841000,-85.021073
20.861000,-85.195261
20.881000,-85.208661
20.901000,-85.061270
20.921000,-85.168463
20.941000,-85.208661
20.961000,-85.047871
20.981000,-85.208661
21.001000,-85.155064
21.021000,-85.195261
21.041000,-85.047871
21.061000,-85.155064
21.081000,-85.181862
21.101000,-85.181862
21.121000,-85.423046
21.141000,-85.141665
21.161000,-85.195261
21.181000,-85.061270
21.201000,-85.463244
21.221000,-85.195261
21.241000,-85.222060
21.261000,-85.423046
21.281000,-85.155064
21.301000,-85.222060
21.321000,-85.195261
21.341000,-85.423046
21.364000,-85.208661
21.383000,-85.181862
21.401000,-85.222060
21.421000,-85.222060
21.441000,-85.222060
21.461000,-85.235459
21.481000,-85.436445
21.501000,-85.195261
21.521000,-85.061270
21.541000,-85.195261
21.561000,-85.195261
21.581000,-85.195261
21.601000,-85.034472
21.621000,-85.181862
21.641000,-85.222060
21.661000,-85.034472
21.681000,-85.222060
21.701000,-85.181862
21.721000,-85.195261
21.741000,-85.034472
21.761000,-85.181862
21.781000,-85.222060
21.801000,-85.181862
21.821000,-85.463244
21.841000,-85.181862
21.861000,-85.222060
21.881000,-85.047871
21.901000,-85.195261
